gamma,k,fingerprint_length,n_recipients,sk,n_colluders,strategy,threshold,embedding_ratio,colluders,accusation_scores,total_accusations,hit_abs,hit_rate,false_accusation_abs,false_accusation_rate,recall
8,300,256,20,100,3,random_flip,1,0.125,[ 2 14 16],"[125.45963968 120.60760942 134.47055303 128.2322284  119.22131506
 120.60760942 124.07334532 129.61852276 128.2322284  126.15278686
 124.07334532 124.7664925  127.53908122 119.22131506 138.62943611
 119.22131506 136.54999457 125.45963968 120.60760942 114.36928479]",3,3,1.0,0,0.0,1.0
8,300,256,20,100,3,random_flip,1,0.125,[3 4 7],"[124.07334532 121.3007566  120.60760942 137.93628893 133.77740585
 115.75557915 116.44872633 143.48146638 127.53908122 126.15278686
 123.38019814 128.2322284  119.22131506 117.8350207  125.45963968
 115.06243197 119.22131506 123.38019814 125.45963968 118.52816788]",3,3,1.0,0,0.0,1.0
8,300,256,20,100,5,random_flip,1,0.125,[ 0  2  7 11  8],"[119.91446224 117.14187351 121.3007566  112.98299043 109.51725453
 112.28984325 119.22131506 125.45963968 126.84593404 117.8350207
 112.28984325 127.53908122 108.13096017 113.67613761 114.36928479
 108.13096017 115.06243197 113.67613761 117.14187351 108.13096017]",3,3,1.0,0,0.0,0.6
8,300,256,20,100,5,random_flip,1,0.125,[ 0 18 19  4 17],"[119.91446224 112.28984325 106.05151863 112.28984325 123.38019814
 108.82410735 113.67613761 119.91446224 115.06243197 118.52816788
 115.06243197 115.75557915 111.59669607 106.74466581 115.75557915
 108.82410735 112.28984325 123.38019814 124.07334532 119.91446224]",3,3,1.0,0,0.0,0.6
8,300,256,20,100,5,random_flip,1,0.125,[ 8 18 17  7  6],"[106.74466581 113.67613761 113.67613761 112.28984325 112.98299043
 110.90354889 123.38019814 126.84593404 124.07334532 110.90354889
 109.51725453 116.44872633 108.13096017 107.43781299 112.28984325
 101.19948836 110.90354889 119.22131506 119.91446224 111.59669607]",4,4,1.0,0,0.0,0.8
8,300,256,20,100,5,random_flip,1,0.125,[12 10 14  3  2],"[123.38019814 116.44872633 126.84593404 128.92537558 115.75557915
 120.60760942 117.14187351 124.7664925  122.68705096 124.07334532
 129.61852276 122.68705096 123.38019814 120.60760942 128.92537558
 112.28984325 121.3007566  117.14187351 115.06243197 110.21040171]",4,4,1.0,0,0.0,0.8
8,300,256,20,100,5,random_flip,1,0.125,[ 9  1  5  0 17],"[124.7664925  125.45963968 114.36928479 115.75557915 119.22131506
 126.15278686 117.14187351 121.99390378 117.8350207  126.15278686
 125.45963968 121.3007566  112.98299043 111.59669607 119.22131506
 108.13096017 120.60760942 124.7664925  116.44872633 108.13096017]",6,5,0.8333333333333334,1,0.1666666666666666,1.0
8,300,256,20,100,5,random_flip,1,0.125,[ 1  0  5 18  4],"[119.91446224 120.60760942 108.82410735 113.67613761 119.91446224
 123.38019814 113.67613761 111.59669607 117.14187351 113.67613761
 123.38019814 111.59669607 112.28984325 108.82410735 113.67613761
 106.05151863 113.67613761 109.51725453 124.07334532 110.21040171]",4,3,0.75,1,0.25,0.6
8,300,256,20,100,5,random_flip,1,0.125,[ 9  0 13  3 15],"[124.7664925  115.06243197 112.98299043 126.15278686 110.21040171
 112.28984325 117.14187351 119.22131506 121.3007566  121.3007566
 117.8350207  119.91446224 110.21040171 119.91446224 119.91446224
 119.91446224 111.59669607 109.51725453 120.60760942 113.67613761]",2,2,1.0,0,0.0,0.4
8,300,256,20,100,5,random_flip,1,0.125,[ 1  2 15 11  8],"[116.44872633 117.14187351 119.91446224 114.36928479 114.36928479
 115.06243197 120.60760942 116.44872633 124.07334532 117.14187351
 111.59669607 123.38019814 110.90354889 112.98299043 117.8350207
 118.52816788 112.28984325 112.28984325 110.21040171 107.43781299]",4,3,0.75,1,0.25,0.6
8,300,256,20,100,5,random_flip,1,0.125,[ 1 13 11 10  5],"[112.28984325 124.7664925  112.28984325 110.21040171 106.05151863
 130.31166995 115.06243197 119.22131506 119.91446224 112.98299043
 122.68705096 126.15278686 109.51725453 119.91446224 108.82410735
 106.05151863 114.36928479 111.59669607 112.98299043 112.98299043]",4,4,1.0,0,0.0,0.8
8,300,256,20,100,5,random_flip,1,0.125,[13  0  6 14 10],"[126.15278686 111.59669607 115.06243197 115.06243197 112.98299043
 115.06243197 129.61852276 121.3007566  119.91446224 121.3007566
 116.44872633 119.22131506 112.98299043 117.14187351 125.45963968
 109.51725453 117.14187351 119.22131506 119.91446224 110.90354889]",3,3,1.0,0,0.0,0.6
8,300,256,20,100,10,random_flip,1,0.125,[ 3 18 19 14  9 10  8  1 15 16],"[103.97207708 113.67613761 103.2789299  108.13096017 101.19948836
 104.66522426 110.90354889 109.51725453 112.28984325 108.82410735
 108.82410735 106.74466581 101.89263554 103.2789299  110.90354889
 104.66522426 110.21040171 102.58578272 112.28984325 104.66522426]",3,3,1.0,0,0.0,0.3
8,300,256,20,100,10,random_flip,1,0.125,[ 8  1 15 14 11 17 19 13  2  9],"[108.13096017 103.97207708 106.74466581 101.89263554  97.04060528
 101.19948836 110.90354889 104.66522426 108.82410735 101.19948836
  99.813194   105.35837145  96.3474581   97.04060528  99.813194
 100.50634118 100.50634118 104.66522426 110.21040171 106.05151863]",4,1,0.25,3,0.75,0.0999999999999999
8,300,256,20,100,10,random_flip,1,0.125,[16 10 15  5 13 11  1  2 18  3],"[110.90354889 103.97207708 103.97207708 104.66522426 106.05151863
 110.21040171 105.35837145 108.13096017 105.35837145 105.35837145
 101.19948836 110.90354889  97.73375246  99.12004682 106.05151863
 101.19948836 108.13096017 107.43781299 109.51725453  98.42689964]",4,3,0.75,1,0.25,0.3
8,300,256,20,100,10,random_flip,1,0.125,[15 13 11 19 16  7  9 18  6 14],"[105.35837145 102.58578272  99.813194   110.21040171 103.2789299
 103.97207708 110.21040171 108.13096017 106.74466581 107.43781299
 106.05151863 111.59669607 101.19948836  96.3474581  110.90354889
 108.82410735 109.51725453 105.35837145 112.28984325 100.50634118]",3,3,1.0,0,0.0,0.3
8,300,256,20,100,10,random_flip,1,0.125,[ 2  8 14 15  4 11 17  5 13  9],"[101.19948836  95.65431092 104.66522426 100.50634118  99.12004682
 106.74466581 106.05151863 106.74466581 110.21040171 103.97207708
 101.89263554 103.2789299  102.58578272 102.58578272 106.74466581
  96.3474581  106.05151863 102.58578272 101.89263554  94.26801656]",4,3,0.75,1,0.25,0.3
8,300,256,20,100,10,random_flip,1,0.125,[15 16  1  0  8 13  7 14  2  4],"[104.66522426 108.82410735 103.97207708  99.813194   107.43781299
 101.89263554 106.74466581 108.82410735 108.13096017 103.2789299
 106.05151863 106.05151863 100.50634118 103.2789299  106.05151863
  98.42689964 104.66522426 105.35837145 106.74466581 102.58578272]",3,3,1.0,0,0.0,0.3
8,300,256,20,100,10,random_flip,1,0.125,[ 8  5  0  1 15  6  9  2  7 13],"[108.13096017 117.14187351 106.74466581 103.2789299  105.35837145
 106.05151863 112.98299043 118.52816788 112.98299043 112.28984325
 108.13096017 111.59669607 104.66522426 104.66522426 106.74466581
 105.35837145 111.59669607 101.19948836 108.13096017  97.73375246]",2,2,1.0,0,0.0,0.1999999999999999
8,300,256,20,100,10,random_flip,1,0.125,[17 13 14  0  9  2 10 11 15 12],"[107.43781299 101.89263554 106.74466581 107.43781299 103.2789299
 101.89263554 115.06243197 111.59669607 110.90354889 108.82410735
 104.66522426 112.28984325 106.74466581 106.74466581 111.59669607
 110.21040171 106.05151863 112.28984325 108.82410735 101.89263554]",5,3,0.6,2,0.4,0.3
8,300,256,20,100,10,random_flip,1,0.125,[17 10 19  3 15 16  2 14  4 18],"[102.58578272 100.50634118 108.82410735 103.97207708 106.74466581
  99.813194   104.66522426 106.05151863 106.74466581 108.13096017
 102.58578272 108.13096017 101.89263554  96.3474581  103.97207708
  99.813194   101.89263554 108.82410735 113.67613761 100.50634118]",3,3,1.0,0,0.0,0.3
8,300,256,20,100,10,random_flip,1,0.125,[16 18  4  5 10  1 15 13  2 11],"[102.58578272 110.21040171 103.2789299  101.19948836 101.89263554
 106.74466581 109.51725453 106.74466581 106.05151863 103.97207708
 102.58578272 112.28984325  96.3474581  102.58578272 104.66522426
 102.58578272 106.05151863 100.50634118 107.43781299  97.04060528]",3,2,0.6666666666666666,1,0.3333333333333333,0.1999999999999999
8,300,512,20,100,2,random_flip,1,0.125,[16  8],"[237.74948293 245.37410192 237.05633575 240.52207165 239.13577729
 241.90836602 240.52207165 248.83983782 293.20125738 240.52207165
 241.21521883 244.68095474 242.6015132  246.0672491  245.37410192
 235.67004139 280.03146095 240.52207165 237.74948293 239.82892447]",2,2,1.0,0,0.0,1.0
8,300,512,20,100,2,random_flip,1,0.125,[11 13],"[246.76039628 248.14669064 243.98780756 246.76039628 237.74948293
 246.76039628 238.44263011 252.9987209  254.38501527 244.68095474
 245.37410192 291.12181584 252.30557372 284.88349121 241.90836602
 234.97689421 249.532985   239.13577729 239.82892447 241.90836602]",2,2,1.0,0,0.0,1.0
8,300,512,20,100,2,random_flip,1,0.125,[ 3 11],"[241.90836602 247.45354346 246.76039628 288.34922711 248.14669064
 241.21521883 239.82892447 250.91927936 246.0672491  243.98780756
 239.82892447 291.12181584 253.69186808 244.68095474 248.14669064
 234.97689421 250.91927936 243.98780756 248.83983782 239.13577729]",2,2,1.0,0,0.0,1.0
8,300,512,20,100,2,random_flip,1,0.125,[16  1],"[239.13577729 289.73552147 231.51115831 243.29466038 232.89745267
 227.35227522 237.05633575 252.9987209  245.37410192 246.76039628
 239.13577729 238.44263011 242.6015132  236.36318857 239.82892447
 232.20430549 280.72460813 237.05633575 246.0672491  231.51115831]",2,2,1.0,0,0.0,1.0
8,300,512,20,100,2,random_flip,1,0.125,[19 17],"[254.38501527 241.90836602 241.90836602 246.0672491  238.44263011
 245.37410192 243.29466038 248.83983782 253.69186808 248.14669064
 235.67004139 241.21521883 247.45354346 243.29466038 245.37410192
 232.20430549 241.90836602 274.4862835  250.22613218 282.80404967]",2,2,1.0,0,0.0,1.0
8,300,512,20,100,2,random_flip,1,0.125,[19 18],"[242.6015132  242.6015132  236.36318857 244.68095474 239.13577729
 238.44263011 238.44263011 248.14669064 250.22613218 247.45354346
 239.13577729 240.52207165 242.6015132  232.89745267 241.21521883
 229.43171677 237.05633575 235.67004139 292.5081102  292.5081102 ]",2,2,1.0,0,0.0,1.0
8,300,512,20,100,2,random_flip,1,0.125,[ 9 15],"[248.14669064 241.90836602 230.81801113 237.74948293 234.28374703
 232.89745267 246.0672491  238.44263011 248.83983782 274.4862835
 239.82892447 241.90836602 235.67004139 237.05633575 241.90836602
 278.64516659 239.13577729 231.51115831 228.0454224  246.0672491 ]",2,2,1.0,0,0.0,1.0
8,300,512,20,100,2,random_flip,1,0.125,[15 18],"[241.21521883 239.82892447 234.28374703 241.90836602 235.67004139
 234.97689421 238.44263011 234.97689421 246.76039628 232.89745267
 241.21521883 237.74948293 240.52207165 239.13577729 234.97689421
 277.25887222 239.82892447 232.89745267 281.41775531 245.37410192]",2,2,1.0,0,0.0,1.0
8,300,512,20,100,2,random_flip,1,0.125,[10  1],"[241.21521883 284.19034403 230.81801113 252.30557372 238.44263011
 242.6015132  234.97689421 250.22613218 241.90836602 250.22613218
 291.81496302 239.13577729 242.6015132  240.52207165 244.68095474
 228.73856958 247.45354346 230.12486395 247.45354346 237.05633575]",2,2,1.0,0,0.0,1.0
8,300,512,20,100,2,random_flip,1,0.125,[14 12],"[241.90836602 252.30557372 241.21521883 249.532985   239.13577729
 238.44263011 237.74948293 254.38501527 248.83983782 244.68095474
 240.52207165 248.14669064 284.88349121 250.22613218 283.49719685
 228.73856958 246.0672491  241.21521883 242.6015132  247.45354346]",2,2,1.0,0,0.0,1.0
8,300,512,20,100,3,random_flip,1,0.125,[18 17  6],"[234.97689421 232.20430549 221.80709778 228.73856958 230.12486395
 223.88653932 263.39592861 230.12486395 228.73856958 228.73856958
 221.1139506  221.1139506  233.59059985 221.1139506  225.96598086
 214.87562597 229.43171677 252.30557372 263.39592861 225.96598086]",3,3,1.0,0,0.0,1.0
8,300,512,20,100,3,random_flip,1,0.125,[16  9 14],"[246.0672491  247.45354346 233.59059985 243.98780756 243.98780756
 238.44263011 240.52207165 252.30557372 248.14669064 264.78222297
 246.76039628 243.29466038 244.68095474 241.90836602 273.09998914
 235.67004139 273.09998914 240.52207165 250.22613218 239.13577729]",3,3,1.0,0,0.0,1.0
8,300,512,20,100,3,random_flip,1,0.125,[15  9  0],"[273.79313632 239.82892447 236.36318857 237.05633575 239.13577729
 239.13577729 243.98780756 241.90836602 238.44263011 259.93019271
 241.21521883 246.76039628 236.36318857 236.36318857 247.45354346
 263.39592861 242.6015132  236.36318857 237.74948293 236.36318857]",3,3,1.0,0,0.0,1.0
8,300,512,20,100,3,random_flip,1,0.125,[12 17  6],"[230.81801113 221.1139506  223.19339214 221.80709778 216.26192033
 219.03450906 257.15760399 226.65912804 228.0454224  222.50024496
 222.50024496 227.35227522 252.9987209  223.19339214 220.42080342
 213.48933161 227.35227522 257.85075117 228.0454224  228.0454224 ]",3,3,1.0,0,0.0,1.0
8,300,512,20,100,3,random_flip,1,0.125,[ 2  8 12],"[238.44263011 235.67004139 257.85075117 234.28374703 223.88653932
 228.73856958 234.28374703 240.52207165 268.24795888 236.36318857
 236.36318857 243.29466038 268.24795888 242.6015132  238.44263011
 228.73856958 233.59059985 232.20430549 234.28374703 237.74948293]",3,3,1.0,0,0.0,1.0
8,300,512,20,100,3,random_flip,1,0.125,[ 3 15 18],"[232.89745267 237.05633575 221.1139506  256.46445681 235.67004139
 230.81801113 231.51115831 229.43171677 240.52207165 230.81801113
 236.36318857 235.67004139 235.67004139 227.35227522 234.97689421
 257.15760399 229.43171677 224.5796865  263.39592861 237.05633575]",3,3,1.0,0,0.0,1.0
8,300,512,20,100,3,random_flip,1,0.125,[12 15  3],"[237.05633575 238.44263011 230.81801113 264.78222297 232.20430549
 243.98780756 236.36318857 230.81801113 238.44263011 232.20430549
 237.74948293 240.52207165 264.08907579 239.82892447 241.21521883
 262.70278143 237.74948293 230.12486395 246.0672491  238.44263011]",3,3,1.0,0,0.0,1.0
8,300,512,20,100,3,random_flip,1,0.125,[ 6 17  7],"[234.97689421 234.97689421 225.96598086 225.27283368 226.65912804
 223.19339214 268.24795888 262.00963425 239.13577729 232.89745267
 230.12486395 227.35227522 230.81801113 228.73856958 232.89745267
 217.6482147  228.73856958 259.93019271 232.89745267 228.0454224 ]",3,3,1.0,0,0.0,1.0
8,300,512,20,100,3,random_flip,1,0.125,[17  6 19],"[241.90836602 231.51115831 227.35227522 234.97689421 216.95506752
 225.96598086 261.31648707 234.28374703 242.6015132  236.36318857
 228.0454224  232.20430549 241.90836602 229.43171677 230.12486395
 223.19339214 227.35227522 254.38501527 240.52207165 250.91927936]",3,3,1.0,0,0.0,1.0
8,300,512,20,100,3,random_flip,1,0.125,[11 12 10],"[238.44263011 235.67004139 233.59059985 238.44263011 226.65912804
 238.44263011 236.36318857 250.22613218 234.97689421 237.74948293
 264.78222297 262.00963425 266.16851734 241.21521883 238.44263011
 227.35227522 237.05633575 230.12486395 239.82892447 237.05633575]",3,3,1.0,0,0.0,1.0
8,300,512,20,100,5,random_flip,1,0.125,[10 14 18 17  6],"[213.48933161 210.71674289 207.25100699 210.02359571 205.17156545
 209.33044853 230.81801113 214.87562597 214.18247879 211.40989007
 225.27283368 208.63730135 215.56877315 201.01268236 222.50024496
 198.93324082 209.33044853 219.03450906 232.89745267 207.25100699]",4,4,1.0,0,0.0,0.8
8,300,512,20,100,5,random_flip,1,0.125,[17  0 11 16 14],"[239.13577729 219.72765624 214.87562597 218.34136188 214.18247879
 214.18247879 212.79618443 219.03450906 219.03450906 213.48933161
 212.79618443 232.89745267 228.73856958 207.25100699 230.81801113
 216.26192033 228.0454224  223.19339214 221.1139506  216.95506752]",5,4,0.8,1,0.1999999999999999,0.8
8,300,512,20,100,5,random_flip,1,0.125,[10 12 17 15 18],"[225.27283368 230.81801113 217.6482147  227.35227522 219.72765624
 215.56877315 221.1139506  218.34136188 228.0454224  218.34136188
 232.20430549 221.80709778 235.67004139 221.80709778 222.50024496
 227.35227522 228.0454224  234.28374703 244.68095474 220.42080342]",3,3,1.0,0,0.0,0.6
8,300,512,20,100,5,random_flip,1,0.125,[13  9  1  2  6],"[219.03450906 238.44263011 230.12486395 221.1139506  212.10303725
 217.6482147  240.52207165 227.35227522 222.50024496 224.5796865
 217.6482147  216.95506752 214.87562597 241.90836602 213.48933161
 210.02359571 224.5796865  212.79618443 221.1139506  213.48933161]",3,3,1.0,0,0.0,0.6
8,300,512,20,100,5,random_flip,1,0.125,[ 7 17  0 16 11],"[246.0672491  221.1139506  220.42080342 222.50024496 213.48933161
 223.19339214 220.42080342 237.74948293 221.1139506  216.95506752
 219.03450906 232.89745267 225.96598086 218.34136188 221.1139506
 209.33044853 237.05633575 239.82892447 221.80709778 218.34136188]",4,4,1.0,0,0.0,0.8
8,300,512,20,100,5,random_flip,1,0.125,[13 15 17  2 12],"[216.26192033 209.33044853 227.35227522 212.10303725 201.70582954
 210.71674289 213.48933161 212.79618443 220.42080342 207.25100699
 214.18247879 212.79618443 230.12486395 227.35227522 208.63730135
 218.34136188 207.25100699 221.80709778 215.56877315 212.79618443]",3,3,1.0,0,0.0,0.6
8,300,512,20,100,5,random_flip,1,0.125,[ 5 18  0  6 15],"[228.73856958 203.78527108 205.17156545 207.94415417 203.0921239
 227.35227522 222.50024496 207.94415417 214.87562597 203.0921239
 203.0921239  210.02359571 207.25100699 201.01268236 206.55785981
 215.56877315 210.71674289 204.47841827 221.1139506  207.25100699]",4,4,1.0,0,0.0,0.8
8,300,512,20,100,5,random_flip,1,0.125,[ 0  2  1 10 12],"[238.44263011 230.12486395 230.12486395 218.34136188 210.02359571
 216.26192033 214.87562597 219.03450906 218.34136188 213.48933161
 234.97689421 223.88653932 236.36318857 221.80709778 219.72765624
 207.25100699 219.72765624 213.48933161 223.88653932 213.48933161]",5,5,1.0,0,0.0,1.0
8,300,512,20,100,5,random_flip,1,0.125,[19  5  2  4 16],"[221.80709778 214.18247879 230.81801113 223.88653932 226.65912804
 233.59059985 219.03450906 219.72765624 217.6482147  221.80709778
 217.6482147  216.95506752 213.48933161 219.03450906 214.87562597
 200.31953518 229.43171677 214.87562597 225.96598086 232.20430549]",4,4,1.0,0,0.0,0.8
8,300,512,20,100,5,random_flip,1,0.125,[14  0  2  3  9],"[236.36318857 219.72765624 230.81801113 235.67004139 212.79618443
 216.26192033 214.87562597 225.96598086 216.95506752 228.0454224
 220.42080342 221.1139506  219.03450906 219.72765624 239.13577729
 207.25100699 219.03450906 214.18247879 224.5796865  215.56877315]",4,4,1.0,0,0.0,0.8
8,300,512,20,100,10,random_flip,1,0.125,[ 4 18 11 14  9  6 10  8  0 17],"[215.56877315 202.39897672 198.24009364 203.78527108 207.94415417
 203.0921239  207.25100699 203.78527108 216.95506752 199.626388
 208.63730135 206.55785981 207.94415417 201.01268236 202.39897672
 198.24009364 200.31953518 206.55785981 205.17156545 200.31953518]",2,2,1.0,0,0.0,0.1999999999999999
8,300,512,20,100,10,random_flip,1,0.125,[16 19 11  4  9  5  6  7 12 10],"[203.0921239  200.31953518 194.08121056 197.54694646 190.61547465
 213.48933161 210.02359571 207.94415417 203.0921239  194.08121056
 207.25100699 201.01268236 206.55785981 199.626388   195.46750492
 187.14973875 199.626388   194.77435774 204.47841827 205.86471263]",3,3,1.0,0,0.0,0.3
8,300,512,20,100,10,random_flip,1,0.125,[ 4 10 16  3  7 12 13  8 15  0],"[207.25100699 192.6949162  191.30862183 200.31953518 196.1606521
 194.77435774 194.08121056 203.0921239  205.17156545 182.29770849
 196.85379928 196.1606521  199.626388   196.1606521  195.46750492
 192.00176902 196.85379928 189.92232747 201.01268236 191.30862183]",3,3,1.0,0,0.0,0.3
8,300,512,20,100,10,random_flip,1,0.125,[ 6  4  0 10  2  8 15 14 17 16],"[216.26192033 198.93324082 197.54694646 201.01268236 197.54694646
 197.54694646 207.25100699 194.08121056 204.47841827 191.30862183
 196.85379928 194.77435774 198.93324082 195.46750492 205.17156545
 190.61547465 200.31953518 198.93324082 207.25100699 192.6949162 ]",3,2,0.6666666666666666,1,0.3333333333333333,0.1999999999999999
8,300,512,20,100,10,random_flip,1,0.125,[19 17 14 13  6 12 10  0 11 16],"[203.78527108 192.00176902 187.14973875 191.30862183 183.68400285
 193.38806338 201.70582954 197.54694646 203.78527108 183.68400285
 196.85379928 194.77435774 199.626388   200.31953518 196.85379928
 182.29770849 194.77435774 192.00176902 198.93324082 199.626388  ]",3,2,0.6666666666666666,1,0.3333333333333333,0.1999999999999999
8,300,512,20,100,10,random_flip,1,0.125,[ 3 17  8  4  1  0 11 19 18 12],"[216.26192033 214.18247879 196.85379928 210.71674289 205.86471263
 205.86471263 206.55785981 198.93324082 211.40989007 198.24009364
 201.70582954 207.25100699 210.71674289 205.17156545 203.0921239
 197.54694646 201.70582954 207.25100699 212.79618443 206.55785981]",3,3,1.0,0,0.0,0.3
8,300,512,20,100,10,random_flip,1,0.125,[ 2 19 13 17  9 15  6 12 11 14],"[201.01268236 189.22918029 190.61547465 198.24009364 189.22918029
 196.1606521  205.17156545 196.85379928 204.47841827 189.92232747
 189.92232747 196.85379928 201.70582954 200.31953518 199.626388
 187.84288593 196.1606521  198.24009364 193.38806338 200.31953518]",3,2,0.6666666666666666,1,0.3333333333333333,0.1999999999999999
8,300,512,20,100,10,random_flip,1,0.125,[ 8 16  4  3 18 11  2  0 15 12],"[201.70582954 197.54694646 199.626388   203.78527108 196.1606521
 201.01268236 202.39897672 194.77435774 210.02359571 198.93324082
 198.93324082 201.01268236 202.39897672 191.30862183 198.93324082
 194.77435774 204.47841827 195.46750492 209.33044853 201.70582954]",2,2,1.0,0,0.0,0.1999999999999999
8,300,512,20,100,10,random_flip,1,0.125,[ 2  6 12  9  7 10 16 15  0 11],"[209.33044853 200.31953518 200.31953518 200.31953518 188.53603311
 192.6949162  209.33044853 202.39897672 194.77435774 200.31953518
 206.55785981 197.54694646 202.39897672 200.31953518 199.626388
 196.85379928 197.54694646 189.22918029 198.24009364 198.24009364]",3,3,1.0,0,0.0,0.3
8,300,512,20,100,10,random_flip,1,0.125,[ 0  5  9  4 18  8 10  6 14  1],"[212.79618443 194.08121056 194.08121056 203.0921239  203.0921239
 207.94415417 207.25100699 198.93324082 210.71674289 196.1606521
 204.47841827 192.6949162  196.1606521  194.08121056 201.01268236
 196.1606521  196.85379928 190.61547465 217.6482147  201.01268236]",3,3,1.0,0,0.0,0.3
8,300,1024,20,100,2,random_flip,1,0.125,[ 7 19],"[441.53475402 449.159373   437.37587093 426.28551604 432.52384067
 440.84160684 447.07993146 512.92891361 449.159373   453.31825609
 426.97866322 435.98957657 444.30734274 449.159373   441.53475402
 424.89922168 431.83069349 431.13754631 434.60328221 512.92891361]",2,2,1.0,0,0.0,1.0
8,300,1024,20,100,2,random_flip,1,0.125,[14 16],"[435.98957657 446.38678428 438.76216529 438.06901811 415.19516116
 421.43348578 430.44439913 447.77307864 431.13754631 435.29642939
 428.36495759 429.75125195 438.76216529 440.84160684 499.75911718
 420.04719142 511.54261925 439.45531248 422.81978014 430.44439913]",2,2,1.0,0,0.0,1.0
8,300,1024,20,100,2,random_flip,1,0.125,[17 13],"[435.29642939 420.7403386  431.13754631 438.76216529 413.11571961
 429.75125195 435.98957657 436.68272375 445.6936371  430.44439913
 420.04719142 424.89922168 443.61419556 511.54261925 430.44439913
 411.72942525 436.68272375 489.36190948 428.36495759 429.75125195]",2,2,1.0,0,0.0,1.0
8,300,1024,20,100,2,random_flip,1,0.125,[14 12],"[432.52384067 430.44439913 442.2279012  439.45531248 415.88830834
 427.67181041 433.21698785 438.76216529 435.98957657 423.51292732
 419.35404424 430.44439913 512.23576643 449.159373   494.90708692
 415.88830834 435.29642939 434.60328221 434.60328221 431.83069349]",2,2,1.0,0,0.0,1.0
8,300,1024,20,100,2,random_flip,1,0.125,[14 13],"[429.05810477 420.7403386  427.67181041 434.60328221 407.57054217
 421.43348578 423.51292732 436.68272375 437.37587093 423.51292732
 422.81978014 424.89922168 438.06901811 508.07688335 494.21393974
 421.43348578 426.28551604 423.51292732 413.11571961 424.89922168]",2,2,1.0,0,0.0,1.0
8,300,1024,20,100,2,random_flip,1,0.125,[11 17],"[431.83069349 424.2060745  435.98957657 438.76216529 426.28551604
 430.44439913 440.14845966 450.54566736 440.84160684 441.53475402
 426.97866322 506.69058899 446.38678428 438.06901811 441.53475402
 417.96774988 429.75125195 505.99744181 423.51292732 435.29642939]",2,2,1.0,0,0.0,1.0
8,300,1024,20,100,2,random_flip,1,0.125,[18  6],"[440.14845966 447.07993146 438.06901811 434.60328221 438.06901811
 434.60328221 512.23576643 450.54566736 460.24972789 442.92104838
 432.52384067 429.75125195 449.85252018 445.00048992 428.36495759
 424.89922168 442.2279012  438.06901811 509.46317771 447.07993146]",2,2,1.0,0,0.0,1.0
8,300,1024,20,100,2,random_flip,1,0.125,[15  1],"[429.75125195 519.16723824 433.21698785 433.21698785 424.2060745
 431.13754631 438.76216529 453.31825609 440.84160684 440.84160684
 425.59236886 430.44439913 433.21698785 441.53475402 435.98957657
 496.29338128 440.14845966 422.12663296 435.29642939 434.60328221]",2,2,1.0,0,0.0,1.0
8,300,1024,20,100,2,random_flip,1,0.125,[15  7],"[417.2746027  444.30734274 422.81978014 425.59236886 420.04719142
 422.81978014 430.44439913 508.07688335 438.76216529 432.52384067
 422.81978014 429.75125195 423.51292732 444.30734274 427.67181041
 496.29338128 431.83069349 414.50201397 425.59236886 433.21698785]",2,2,1.0,0,0.0,1.0
8,300,1024,20,100,2,random_flip,1,0.125,[ 4 11],"[436.68272375 433.21698785 422.12663296 428.36495759 499.06597
 432.52384067 439.45531248 446.38678428 440.14845966 445.6936371
 424.2060745  507.38373617 440.14845966 429.05810477 430.44439913
 420.04719142 429.05810477 429.75125195 429.75125195 431.83069349]",2,2,1.0,0,0.0,1.0
8,300,1024,20,100,3,random_flip,1,0.125,[15 11  3],"[404.79795345 413.11571961 412.42257243 454.70455045 389.54871547
 406.18424781 411.72942525 416.58145552 426.97866322 428.36495759
 413.11571961 460.24972789 421.43348578 432.52384067 415.88830834
 450.54566736 414.50201397 408.26368935 404.79795345 410.34313089]",3,3,1.0,0,0.0,1.0
8,300,1024,20,100,3,random_flip,1,0.125,[7 1 8],"[429.75125195 483.81673203 422.12663296 426.97866322 415.88830834
 424.2060745  429.75125195 488.66876229 499.06597    433.21698785
 424.89922168 421.43348578 434.60328221 445.00048992 426.97866322
 426.97866322 431.83069349 422.12663296 424.89922168 433.91013503]",3,3,1.0,0,0.0,1.0
8,300,1024,20,100,3,random_flip,1,0.125,[2 3 4],"[414.50201397 407.57054217 458.17028635 451.23881454 442.92104838
 411.03627807 404.79795345 413.11571961 420.04719142 416.58145552
 404.79795345 402.71851191 421.43348578 423.51292732 423.51292732
 396.48018728 411.72942525 408.95683653 411.03627807 411.03627807]",3,3,1.0,0,0.0,1.0
8,300,1024,20,100,3,random_flip,1,0.125,[ 0 14 11],"[469.26064124 417.96774988 427.67181041 416.58145552 404.10480627
 399.94592318 422.12663296 424.2060745  420.7403386  414.50201397
 411.03627807 460.94287507 416.58145552 426.28551604 458.17028635
 395.09389292 408.95683653 411.72942525 406.18424781 421.43348578]",3,3,1.0,0,0.0,1.0
8,300,1024,20,100,3,random_flip,1,0.125,[10 12 19],"[413.11571961 417.96774988 408.26368935 404.10480627 399.252776
 411.72942525 415.88830834 419.35404424 420.7403386  424.2060745
 451.93196173 414.50201397 463.71546379 423.51292732 415.19516116
 395.09389292 408.95683653 393.70759856 414.50201397 456.09084481]",3,3,1.0,0,0.0,1.0
